NR_046018.2	DDX11L1
NR_136675.1	UROS
NR_136678.1	UROS
NM_001324039.1	UROS
NR_039704.1	MIR4484
NM_078468.2	BCCIP
NM_078469.2	BCCIP
NM_016567.3	BCCIP
NM_018180.2	DHX32
NM_145235.3	FANK1
NR_102707.1	FANK1-AS1
NM_003474.5	ADAM12
NM_001288973.1	ADAM12
NM_021641.4	ADAM12
NM_001288974.1	ADAM12
NM_001288975.1	ADAM12
NR_073453.1	LINC00601
NM_001004298.2	C10orf90
NM_001380.4	DOCK1
NM_001290223.1	DOCK1
NM_001039762.2	FAM196A
NM_001030013.1	NPS
NM_207426.2	FOXI2
NM_152311.3	CLRN3
NM_001323356.1	PTPRE
NM_001323355.1	PTPRE
NM_006504.5	PTPRE
NM_001316676.1	PTPRE
NM_001316677.1	PTPRE
NM_001323354.1	PTPRE
NM_001323357.1	PTPRE
NM_130435.4	PTPRE
NR_136149.1	AS-PTPRE
NR_136150.1	AS-PTPRE
NM_002417.4	MKI67
NM_001145966.1	MKI67
NR_120619.1	LINC01163
NM_002412.4	MGMT
NM_001005463.2	EBF3
NR_036179.1	MIR4297
NR_034125.1	LINC00959
NR_044994.1	CTAGE7P
NM_006541.4	GLRX3
NM_001199868.1	GLRX3
NM_001321980.1	GLRX3
NR_036180.1	MIR378C
NM_174937.3	TCERG1L
NR_120623.1	TCERG1L-AS1
NR_038365.1	LINC01164
NM_001291310.1	PPP2R2D
NR_033191.2	PPP2R2D
NM_018461.4	PPP2R2D
NM_004052.3	BNIP3
NM_001323089.1	JAKMIP3
NM_001323088.1	JAKMIP3
NM_001323090.1	JAKMIP3
NM_001105521.3	JAKMIP3
NM_001323086.1	JAKMIP3
NM_001323087.1	JAKMIP3
NM_006426.2	DPYSL4
NR_134911.1	STK32C
NM_001318879.1	STK32C
NM_173575.3	STK32C
NM_001318878.1	STK32C
NM_001318881.1	STK32C
NM_001318882.1	STK32C
NM_001318880.1	STK32C
NM_001318883.1	STK32C
NM_001143758.1	LRRC27
NM_001143759.1	LRRC27
NM_030626.2	LRRC27
NM_001143757.1	LRRC27
NM_001309474.1	LRRC27
NM_001098637.1	PWWP2B
NM_138499.3	PWWP2B
NM_173541.2	C10orf91
NM_005539.4	INPP5A
NM_001321042.1	INPP5A
NM_177400.2	NKX6-2
NM_001200049.2	CFAP46
NR_120626.1	LINC01166
NR_120627.1	LINC01166
NR_125763.1	LINC01167
NR_046231.1	LINC01168
NR_111905.1	ADGRA1-AS1
NM_001083909.2	ADGRA1
NM_001291085.1	ADGRA1
NM_001347864.1	KNDC1
NM_001347866.1	KNDC1
NM_001347865.1	KNDC1
NM_152643.7	KNDC1
NM_003577.2	UTF1
NM_014468.3	VENTX
NR_108078.1	MIR202HG
NR_108079.1	MIR202HG
NR_030170.1	MIR202
NM_001109.4	ADAM8
NM_001164489.1	ADAM8
NM_001164490.1	ADAM8
NM_001256617.1	TUBGCP2
NM_006659.3	TUBGCP2
NM_001256618.1	TUBGCP2
NR_046330.1	TUBGCP2
NR_130127.1	ZNF511
NM_145806.3	ZNF511
NM_001321617.1	CALY
NM_015722.3	CALY
NM_001145201.1	PRAP1
NM_145202.4	PRAP1
NM_001301828.1	FUOM
NM_198472.2	FUOM
NM_001098483.2	FUOM
NM_001301827.1	FUOM
NM_004092.3	ECHS1
NR_037509.1	MIR3944
NR_109766.1	PAOX
NR_109765.1	PAOX
NR_109764.1	PAOX
NM_207127.2	PAOX
NR_109763.1	PAOX
NM_207128.2	PAOX
NM_152911.3	PAOX
NM_138384.2	MTG1
NM_001012508.3	SPRN
NR_002934.3	SCART1
NM_000773.3	CYP2E1
NM_001143763.1	SYCE1
NM_130784.3	SYCE1
NR_033789.2	SPRNP1
NM_001080998.1	FRG2B
NR_028326.1	LINC01001
NM_145651.2	SCGB1C1
NM_001286136.1	ODF3
NM_053280.4	ODF3
NM_016526.4	BET1L
NM_001098787.1	BET1L
NM_001286134.1	RIC8A
NM_021932.5	RIC8A
NR_106801.1	MIR6743
NM_012239.5	SIRT3
NM_001017524.2	SIRT3
NM_175932.2	PSMD13
NM_002817.3	PSMD13
NM_001276700.1	NLRP6
NM_138329.2	NLRP6
NM_025092.4	PGGHG
NM_001025295.2	IFITM5
NM_006435.2	IFITM2
NM_003641.3	IFITM1
NM_021034.2	IFITM3
NR_049759.1	IFITM3
NM_178537.4	B4GALNT4
NM_001303029.1	PKP3
NM_007183.3	PKP3
NM_001135054.1	SIGIRR
NM_001135053.1	SIGIRR
NM_021805.2	SIGIRR
NM_001347882.1	ANO9
NM_001012302.2	ANO9
NM_001329548.1	PTDSS2
NM_001329545.1	PTDSS2
NR_138046.1	PTDSS2
NM_030783.2	PTDSS2
NM_001329544.1	PTDSS2
NM_002939.3	RNH1
NM_203383.1	RNH1
NM_203385.1	RNH1
NM_203384.1	RNH1
NM_203387.2	RNH1
NM_203386.2	RNH1
NM_203389.2	RNH1
NM_203388.2	RNH1
NM_176795.4	HRAS
NM_001318054.1	HRAS
NM_001130442.2	HRAS
NM_005343.3	HRAS
NM_198075.3	LRRC56
NM_173573.2	LMNTD2
NM_001143993.1	RASSF7
NM_001143994.1	RASSF7
NM_003475.3	RASSF7
NR_038262.1	MIR210HG
NR_029623.1	MIR210
NR_026967.1	LOC143666
NM_001286583.1	PHRF1
NM_001286582.1	PHRF1
NM_020901.3	PHRF1
NM_001286581.1	PHRF1
NM_004031.2	IRF7
NM_001572.3	IRF7
NM_004029.2	IRF7
NM_021924.4	CDHR5
NM_001171968.1	CDHR5
NM_031264.3	CDHR5
NM_021920.3	SCT
NM_000797.3	DRD4
NM_021008.3	DEAF1
NM_001293634.1	DEAF1
NM_174940.3	TMEM80
NM_001276253.1	TMEM80
NM_001042463.2	TMEM80
NM_001276274.1	TMEM80
NM_022772.3	EPS8L2
NM_006755.1	TALDO1
NR_134868.1	PDDC1
NM_001318821.1	PDDC1
NM_182612.3	PDDC1
NM_001318820.1	PDDC1
NM_001318824.1	PDDC1
NR_134867.1	PDDC1
NM_001318823.1	PDDC1
NM_001318818.1	PDDC1
NM_001318822.1	PDDC1
NR_126343.1	LOC171391
NR_126342.1	LOC171391
NM_016564.3	CEND1
NM_024698.5	SLC25A22
NM_001191060.1	SLC25A22
NM_001191061.1	SLC25A22
NM_001293167.1	PANO1
NM_145886.3	PIDD1
NM_145887.3	PIDD1
NM_001004.3	RPLP2
NR_002585.1	SNORA52
NM_020376.3	PNPLA2
NM_173584.4	CRACR2B
NM_001286606.1	CRACR2B
NM_001039490.1	CD151
NM_139029.1	CD151
NM_139030.3	CD151
NM_004357.4	CD151
NM_021128.4	POLR2L
NM_001025238.1	TSPAN4
NM_001025239.1	TSPAN4
NM_003271.4	TSPAN4
NM_001025235.1	TSPAN4
NM_001025236.1	TSPAN4
NM_001025234.1	TSPAN4
NM_001025237.1	TSPAN4
NM_001142674.1	CHID1
NM_001142676.1	CHID1
NM_023947.3	CHID1
NM_001142677.1	CHID1
NM_001142675.1	CHID1
NR_144509.1	AP2A2
NM_012305.3	AP2A2
NR_144510.1	AP2A2
NM_001242837.1	AP2A2
NM_005961.2	MUC6
NM_001323425.1	LOC101927503
NM_002457.4	MUC2
NM_001304359.1	MUC5AC
NM_002458.2	MUC5B
NR_106802.1	MIR6744
NM_001318514.1	TOLLIP
NM_019009.3	TOLLIP
NM_001318516.1	TOLLIP
NM_001318515.1	TOLLIP
NM_001318512.1	TOLLIP
NR_029409.1	TOLLIP-AS1
NM_003957.3	BRSK2
NM_001256627.1	BRSK2
NM_001256629.1	BRSK2
NR_046331.1	BRSK2
NM_001282218.1	BRSK2
NM_001256630.1	BRSK2
NM_053005.5	MOB2
NM_001172223.2	MOB2
NM_004420.2	DUSP8
NR_021489.1	KRTAP5-AS1
NM_001005922.1	KRTAP5-1
NM_001004325.1	KRTAP5-2
NM_001012708.2	KRTAP5-3
NM_001001480.2	KRTAP5-5
NR_026643.1	FAM99A
NR_026642.1	FAM99B
NM_001012416.1	KRTAP5-6
NM_001170820.3	IFITM10
NM_001909.4	CTSD
NM_001290334.1	SYT8
NM_138567.4	SYT8
NM_001290333.1	SYT8
NM_001290332.1	SYT8
NM_003282.3	TNNI2
NM_001145829.1	TNNI2
NM_001145841.1	TNNI2
NM_002339.2	LSP1
NR_036185.1	MIR4298
NM_001242932.1	LSP1
NM_001013253.1	LSP1
NM_001289005.1	LSP1
NM_001013254.1	LSP1
NM_001013255.1	LSP1
NR_107001.1	MIR7847
NR_120534.1	LINC01150
NM_001042782.2	TNNT3
NM_001042780.2	TNNT3
NM_006757.3	TNNT3
NM_001042781.2	TNNT3
NM_001297646.1	TNNT3
NM_021134.3	MRPL23
NR_132974.1	SNORD131
NR_024471.1	MRPL23-AS1
NR_126400.1	LINC01219
NM_001293171.2	HOTS
NR_002196.2	H19
NR_131223.1	H19
NR_131224.1	H19
NR_030533.1	MIR675
NM_001291861.2	IGF2
NM_000612.5	IGF2
NM_001127598.2	IGF2
NM_001291862.2	IGF2
NM_001007139.5	IGF2
NR_003512.3	INS-IGF2
NR_030158.1	MIR483
NR_133657.1	IGF2-AS
NR_028043.2	IGF2-AS
NM_001042376.2	INS-IGF2
NM_001185098.1	INS
NM_001291897.1	INS
NM_001185097.1	INS
NM_000207.2	INS
NM_199292.2	TH
NM_199293.2	TH
NM_000360.3	TH
NR_039834.1	MIR4686
NM_005170.2	ASCL2
NM_001142946.2	C11orf21
NM_001329958.1	C11orf21
NR_138249.1	C11orf21
NM_139022.2	TSPAN32
NR_108080.1	CD81-AS1
NM_001297649.1	CD81
NM_004356.3	CD81
NM_001297661.1	TSSC4
NM_005706.3	TSSC4
NM_001297660.1	TSSC4
NM_001297658.1	TSSC4
NM_001297659.1	TSSC4
NM_014555.3	TRPM5
NM_000218.2	KCNQ1
NM_181798.1	KCNQ1
NR_002728.3	KCNQ1OT1
NR_130721.1	KCNQ1-AS1
NR_024627.1	KCNQ1DN
NM_000076.2	CDKN1C
NM_001122630.1	CDKN1C
NM_001122631.1	CDKN1C
NM_007105.3	SLC22A18AS
NM_001302862.1	SLC22A18AS
NM_183233.2	SLC22A18
NM_001315502.1	SLC22A18
NM_002555.5	SLC22A18
NM_001315501.1	SLC22A18
NM_003311.3	PHLDA2
NM_005969.3	NAP1L4
NR_002982.1	SNORA54
NR_036542.1	CARS
NM_001194997.1	CARS
NM_001014437.2	CARS
NM_139273.3	CARS
NM_001751.5	CARS
NM_020896.3	OSBPL5
NM_001144063.1	OSBPL5
NM_145638.2	OSBPL5
NM_001164377.1	MRGPRG
NR_027138.1	MRGPRG-AS1
NM_001039165.2	MRGPRE
NR_040083.1	ZNF195
NR_046382.1	ZNF195
NM_001256825.1	ZNF195
NR_046381.1	ZNF195
NM_001256823.1	ZNF195
NM_001242841.1	ZNF195
NM_001256824.1	ZNF195
NM_001242842.1	ZNF195
NM_001242843.1	ZNF195
NM_001130520.2	ZNF195
NM_001130519.2	ZNF195
NM_007152.4	ZNF195
NR_024248.1	TSSC2
NR_044999.1	OR7E12P
NR_126335.1	LOC101927708
NR_002720.2	TRPC2
NM_053017.4	ART5
NM_001297668.1	ART5
NM_001079536.1	ART5
NR_123732.1	ART5
NM_004314.2	ART1
NM_001303034.1	CHRNA10
NM_020402.3	CHRNA10
NM_001303035.1	CHRNA10
NM_016320.4	NUP98
NM_139132.3	NUP98
NM_005387.6	NUP98
NM_139131.4	NUP98
NM_001256235.1	PGAP2
NM_001346400.1	PGAP2
NM_001346398.1	PGAP2
NM_001283040.1	PGAP2
NR_104270.1	PGAP2
NR_045923.1	PGAP2
NR_144427.1	PGAP2
NR_045927.1	PGAP2
NM_001283039.1	PGAP2
NR_045925.1	PGAP2
NR_045926.1	PGAP2
NM_001145438.2	PGAP2
NM_001283038.1	PGAP2
NM_001256237.1	PGAP2
NR_104271.1	PGAP2
NM_001346402.1	PGAP2
NM_001346399.1	PGAP2
NM_001256236.1	PGAP2
NM_001346397.1	PGAP2
NR_027017.3	PGAP2
NM_001346401.1	PGAP2
NR_027018.2	PGAP2
NM_001346405.1	PGAP2
NM_001256238.1	PGAP2
NM_001346404.1	PGAP2
NM_001346403.1	PGAP2
NR_144430.1	PGAP2
NR_104272.1	PGAP2
NR_027016.2	PGAP2
NR_144429.1	PGAP2
NR_045929.1	PGAP2
NM_001256239.1	PGAP2
NM_001256240.1	PGAP2
NR_144428.1	PGAP2
NM_014489.3	PGAP2
NM_001665.3	RHOG
NM_003156.3	STIM1
NM_001277962.1	STIM1
NM_001277961.1	STIM1
NR_039835.1	MIR4687
NM_001318064.1	RRM1
NM_001033.4	RRM1
NM_001330193.1	RRM1
NM_001318065.1	RRM1
NR_047550.1	LOC100506082
NM_001005161.3	OR52B4
NM_003141.3	TRIM21
NM_001005172.2	OR52K2
NM_001005171.2	OR52K1
NM_001004137.1	OR52M1
NM_144663.1	C11orf40
NM_001005170.2	OR52I2
NM_001005169.1	OR52I1
NM_018073.7	TRIM68
NM_001304496.1	TRIM68
NM_001004751.2	OR51D1
NM_152430.3	OR51E1
NM_030774.3	OR51E2
NM_001004752.1	OR51F1
NM_001005177.3	OR52R1
NM_001004753.1	OR51F2
NM_001004758.1	OR51S1
NM_001004759.1	OR51T1
NM_001004749.1	OR51A7
NM_001005238.1	OR51G2
NM_001005237.1	OR51G1
NM_001005329.1	OR51A4
NM_001004748.1	OR51A2
NM_021801.4	MMP26
NM_001004755.1	OR51L1
NM_001001916.2	OR52J3
NM_001005164.2	OR52E2
NM_001005160.2	OR52A5
NM_012375.2	OR52A1
NM_001004760.2	OR51V1
NM_000518.4	HBB
NM_000519.3	HBD
NR_001589.1	HBBP1
NR_121648.1	BGLT3
NM_000559.2	HBG1
NM_000184.2	HBG2
NM_005330.3	HBE1
NM_033179.2	OR51B4
NM_033180.4	OR51B2
NR_038321.1	OR51B5
NM_001005567.2	OR51B5
NM_001004750.1	OR51B6
NM_001004756.2	OR51M1
NM_001004757.2	OR51Q1
NM_001005288.2	OR51I1
NM_001004754.2	OR51I2
NM_001005163.2	OR52D1
NM_001347096.1	UBQLN3
NM_017481.3	UBQLN3
NM_145053.4	UBQLNL
NR_133006.1	OLFM5P
NM_001005289.1	OR52H1
NM_001005162.2	OR52B6
NM_058166.4	TRIM6
NM_001003819.3	TRIM6-TRIM34
NM_001198645.1	TRIM6
NM_001198644.1	TRIM6
NM_001003818.2	TRIM6
NM_001003827.1	TRIM34
NM_021616.5	TRIM34
NM_130390.2	TRIM34
NM_033092.2	TRIM5
NM_033034.2	TRIM5
NM_033093.2	TRIM5
NM_001199573.1	TRIM22
NM_006074.4	TRIM22
NM_001005180.2	OR56B1
NM_001005175.3	OR52N4
NM_001001922.2	OR52N5
NM_001001913.1	OR52N1
NM_001005174.1	OR52N2
NM_001005167.1	OR52E6
NM_001005168.1	OR52E8
NM_001005165.1	OR52E4
NM_001003443.2	OR56A3
NM_001146033.1	OR56A5
NM_001005173.3	OR52L1
NM_001005179.2	OR56A4
NM_001001917.2	OR56A1
NM_001005181.2	OR56B4
NM_001004052.1	OR52B2
NM_001005178.1	OR52W1
NM_173525.2	C11orf42
NM_032127.3	FAM160A2
NM_001098794.1	FAM160A2
NM_001037329.3	CNGA4
NM_001318029.1	CCKBR
NM_176875.3	CCKBR
NM_145040.2	PRKCDBP
NM_001007593.2	SMPD1
NR_134502.1	SMPD1
NR_027400.2	SMPD1
NM_000543.4	SMPD1
NM_001318087.1	SMPD1
NM_001318088.1	SMPD1
NM_001257325.2	APBB1
NM_001257319.2	APBB1
NM_001257323.2	APBB1
NM_001257321.2	APBB1
NM_001257326.2	APBB1
NM_001257320.2	APBB1
NM_001164.4	APBB1
NR_047512.2	APBB1
NM_145689.2	APBB1
NM_000613.2	HPX
NM_006458.3	TRIM3
NM_033278.3	TRIM3
NM_001248007.1	TRIM3
NM_001248006.1	TRIM3
NM_001242854.1	ARFIP2
NM_012402.3	ARFIP2
NM_001242855.1	ARFIP2
NM_001242856.1	ARFIP2
NM_012192.3	TIMM10B
NM_173589.3	DNHD1
NM_144666.2	DNHD1
NM_015324.3	RRP8
NM_001278442.1	ILK
NM_001014794.2	ILK
NM_001278441.1	ILK
NM_004517.3	ILK
NM_001014795.2	ILK
NM_006284.3	TAF10
NM_000391.3	TPP1
NM_003737.3	DCHS1
NM_022061.3	MRPL17
NR_003945.1	GVINP1
NM_001004490.1	OR2AG2
NM_001004489.2	OR2AG1
NM_003696.2	OR6A2
NM_178168.1	OR10A5
NM_001004460.1	OR10A2
NM_207186.2	OR10A4
NM_003700.1	OR2D2
NM_001004684.1	OR2D3
NM_013250.2	ZNF215
NM_013249.2	ZNF214
NM_176822.3	NLRP14
NM_014469.4	RBMXL2
NR_031683.1	MIR302E
NM_175733.3	SYT9
NR_103855.1	LOC100506258
NM_198474.3	OLFML1
NM_003621.3	PPFIBP2
NM_001256568.1	PPFIBP2
NM_001256569.1	PPFIBP2
NM_001302827.1	CYB5R2
NR_126508.1	CYB5R2
NM_016229.4	CYB5R2
NM_001302826.1	CYB5R2
NM_198185.4	OVCH2
NM_153444.1	OR5P2
NM_153445.1	OR5P3
NR_027711.1	OR5E1P
NR_036678.1	LOC283299
NM_001004461.1	OR10A6
NM_001003745.1	OR10A3
NM_176821.3	NLRP10
NM_003754.2	EIF3F
NR_125366.1	CASC23
NM_003320.4	TUB
NR_120538.1	TUB-AS1
NR_120537.1	TUB-AS1
NM_177972.2	TUB
NR_144485.1	RIC3
NM_001346693.1	RIC3
NM_001346694.1	RIC3
NM_001346692.1	RIC3
NM_001346690.1	RIC3
NM_001206671.3	RIC3
NM_024557.5	RIC3
NM_001346691.1	RIC3
NR_144484.1	RIC3
NM_001206672.3	RIC3
NR_144497.1	RIC3
NM_001135109.3	RIC3
NR_073006.1	LMO1
NM_002315.2	LMO1
NM_001270428.1	LMO1
NM_030906.3	STK33
NM_001289061.1	STK33
NM_001289058.1	STK33
NM_001289059.1	STK33
NM_014818.1	TRIM66
NM_000990.4	RPL27A
NR_002580.1	SNORA3A
NR_002977.1	SNORA3B
NM_213618.1	ST5
NM_139157.2	ST5
NM_005418.3	ST5
NR_120590.1	LOC102724784
NM_001206648.1	AKIP1
NM_001206646.1	AKIP1
NM_001206647.1	AKIP1
NM_020642.3	AKIP1
NR_045418.1	AKIP1
NR_045417.1	AKIP1
NM_020643.2	C11orf16
NM_020646.2	ASCL3
NM_020644.2	TMEM9B
NM_001286094.1	TMEM9B
NM_001286095.1	TMEM9B
NR_073431.1	TMEM9B-AS1
NM_020645.2	NRIP3
NM_020974.2	SCUBE2
NM_001170690.1	SCUBE2
NM_001330199.1	SCUBE2
NR_049874.1	MIR5691
NR_027713.1	KRT8P41
NM_015213.3	DENND5A
NM_001243254.1	DENND5A
NM_015012.3	TMEM41B
NR_028491.2	TMEM41B
NM_001165030.2	TMEM41B
NM_006391.2	IPO7
NR_002962.1	SNORA23
NR_036539.1	LOC644656
NM_001282657.1	ZNF143
NM_001282656.1	ZNF143
NM_003442.5	ZNF143
NM_003390.3	WEE1
NM_001143976.1	WEE1
NM_001297714.1	SWAP70
NM_015055.3	SWAP70
NR_033972.1	LOC440028
NR_036485.1	SBF2-AS1
NM_030962.3	SBF2
NR_120539.1	LOC101928008
NM_001124.2	ADM
NR_103765.1	CAND1.11
NM_001172431.1	AMPD3
NM_000480.2	AMPD3
NM_001025389.1	AMPD3
NM_001025390.1	AMPD3
NM_001172430.1	AMPD3
NM_001190702.1	MTRNR2L8
NR_039705.1	MIR4485
NM_016422.3	RNF141
NR_034094.2	MRVI1-AS1
NR_034093.2	MRVI1-AS1
NR_046375.1	MRVI1-AS1
NR_046374.1	MRVI1-AS1
NM_006691.3	LYVE1
NM_001098579.2	MRVI1
NM_001100167.2	MRVI1
NM_001100163.2	MRVI1
NM_130385.3	MRVI1
NM_001206880.1	MRVI1
NM_001206881.1	MRVI1
NM_001346279.1	CTR9
NM_014633.4	CTR9
NM_001172705.1	EIF4G2
NM_001418.3	EIF4G2
NM_001042559.2	EIF4G2
NR_004403.1	SNORD97
NR_120540.1	LOC101928053
NM_021211.3	ZBED5
NM_001143667.1	ZBED5
NR_034137.1	ZBED5-AS1
NM_198516.2	GALNT18
NM_001256686.1	CSNK2A3
NR_036184.1	MIR4299
NR_107037.1	MIR8070
NM_017944.3	USP47
NM_001282659.1	USP47
NM_001330208.1	USP47
NM_001018057.1	DKK3
NM_015881.5	DKK3
NM_001330220.1	DKK3
NM_013253.4	DKK3
NR_135109.1	LOC105376554
NM_001282668.1	MICAL2
NM_001346294.1	MICAL2
NR_144418.1	MICAL2
NM_001346298.1	MICAL2
NM_001346292.1	MICAL2
NR_144415.1	MICAL2
NM_001346296.1	MICAL2
NR_144416.1	MICAL2
NM_001346299.1	MICAL2
NM_001282663.1	MICAL2
NR_144420.1	MICAL2
NM_001346295.1	MICAL2
NR_144417.1	MICAL2
NM_014632.3	MICAL2
NR_144419.1	MICAL2
NM_001346297.1	MICAL2
NM_001346293.1	MICAL2
NM_001282665.1	MICAL2
NM_001282664.1	MICAL2
NM_001282667.1	MICAL2
NM_001282666.1	MICAL2
NR_106739.1	MIR6124
NM_032867.2	MICALCL
NM_018222.4	PARVA
NM_021961.5	TEAD1
NR_038904.1	LINC00958
NM_001080521.2	RASSF10
NM_001030272.2	ARNTL
NM_001297722.1	ARNTL
NM_001297724.1	ARNTL
NM_001030273.2	ARNTL
NM_001178.5	ARNTL
NM_001297719.1	ARNTL
NM_001297742.1	BTBD10
NM_032320.6	BTBD10
NM_001297741.1	BTBD10
NM_000315.3	PTH
NM_001316352.1	PTH
NM_032228.5	FAR1
NR_135052.1	LOC101928132
NM_006108.3	SPON1
NM_001177315.1	RRAS2
NM_001102669.2	RRAS2
NM_012250.5	RRAS2
NM_001177314.1	RRAS2
NM_016451.4	COPB1
NM_001144062.1	COPB1
NM_001144061.1	COPB1
NM_002786.3	PSMA1
NM_148976.2	PSMA1
NM_001143937.1	PSMA1
NM_000922.3	PDE3B
NM_024514.4	CYP2R1
NM_001033953.2	CALCA
NR_125898.1	CALCA
NM_001033952.2	CALCA
NM_001741.2	CALCA
NM_000728.3	CALCB
NM_001031853.4	INSC
NM_001042536.2	INSC
NM_001278316.1	INSC
NM_001278313.1	INSC
NM_001278315.1	INSC
NM_001278314.1	INSC
NM_001293172.1	LOC102724957
NM_017508.2	SOX6
NM_001145819.1	SOX6
NM_001145811.1	SOX6
NM_033326.3	SOX6
NR_106721.1	MIR6073
NM_014267.5	C11orf58
NM_001329630.1	PLEKHA7
NM_001329631.1	PLEKHA7
NM_175058.4	PLEKHA7
NR_045002.1	OR7E14P
NM_001017.2	RPS13
NR_000022.1	SNORD14A
NR_001452.1	SNORD14B
NM_001321378.1	PIK3C2A
NM_002645.3	PIK3C2A
NM_001321380.1	PIK3C2A
NM_001330227.1	NUCB2
NM_005013.2	NUCB2
NR_132751.1	LOC105376575
NM_001202439.2	NCR3LG1
NM_000525.3	KCNJ11
NM_001166290.1	KCNJ11
NM_001287174.1	ABCC8
NM_000352.4	ABCC8
NM_005709.3	USH1C
NM_153676.3	USH1C
NR_123738.1	USH1C
NM_001297764.1	USH1C
NM_001292063.1	OTOG
NM_001277269.1	OTOG
NR_132279.1	LOC102723330
NM_002478.4	MYOD1
NM_004976.4	KCNC1
NM_001112741.1	KCNC1
NR_104040.1	SERGEF
NM_012139.3	SERGEF
NR_104041.1	SERGEF
NM_004179.2	TPH1
NM_138421.2	SAAL1
NR_026576.1	SAA3P
NM_054031.3	MRGPRX3
NM_054032.3	MRGPRX4
NR_026541.1	LOC494141
NR_026564.1	LOC494141
NR_026563.1	LOC494141
NM_006512.3	SAA4
NM_001199744.1	SAA2-SAA4
NM_001127380.2	SAA2
NM_030754.4	SAA2
NM_199161.4	SAA1
NM_001178006.2	SAA1
NM_000331.5	SAA1
NM_181507.1	HPS5
NM_007216.3	HPS5
NM_181508.1	HPS5
NM_005316.3	GTF2H1
NM_001142307.1	GTF2H1
NR_036116.1	MIR3159
NR_028500.1	LDHA
NM_001135239.1	LDHA
NM_001165415.1	LDHA
NM_001165416.1	LDHA
NM_005566.3	LDHA
NM_001165414.1	LDHA
NM_017448.3	LDHC
NM_002301.4	LDHC
NM_001144071.1	LDHAL6A
NM_144972.4	LDHAL6A
NM_006292.3	TSG101
NM_001261385.1	UEVLD
NM_001040697.2	UEVLD
NM_018314.4	UEVLD
NM_001261386.1	UEVLD
NM_001261382.1	UEVLD
NM_001261383.1	UEVLD
NM_001261384.1	UEVLD
NM_001297771.1	UEVLD
NR_038360.1	SPTY2D1-AS1
NM_194285.2	SPTY2D1
NM_153347.2	TMEM86A
NM_173588.3	IGSF22
NM_006906.1	PTPN5
NM_001039970.1	PTPN5
NM_032781.3	PTPN5
NM_001278238.1	PTPN5
NM_001278239.1	PTPN5
NM_001278236.1	PTPN5
NM_147199.3	MRGPRX1
NM_001303615.1	MRGPRX2
NM_054030.3	MRGPRX2
NM_001001483.2	ZDHHC13
NM_019028.2	ZDHHC13
NM_003476.4	CSRP3
NM_024680.3	E2F8
NM_001256371.1	E2F8
NM_001256372.1	E2F8
NM_001111018.1	NAV2
NR_049725.1	NAV2-AS5
NR_033989.1	NAV2-AS4
NR_039706.1	MIR4486
NR_015384.2	LOC100126784
NM_145117.4	NAV2
NM_182964.5	NAV2
NM_001244963.1	NAV2
NR_039843.1	MIR4694
NM_001111019.2	NAV2
NR_046672.1	NAV2-AS2
NM_001029865.2	DBX1
NM_006410.4	HTATIP2
NM_001098521.1	HTATIP2
NM_001098520.1	HTATIP2
NM_001098522.1	HTATIP2
NM_001098523.1	HTATIP2
NM_001145166.1	PRMT3
NM_001145167.1	PRMT3
NM_005788.3	PRMT3
NM_001318369.1	SLC6A5
NM_004211.4	SLC6A5
NM_001288714.1	NELL1
NM_201551.2	NELL1
NM_006157.4	NELL1
NM_001288713.1	NELL1
NM_001142649.1	ANO5
NM_213599.2	ANO5
NM_020346.2	SLC17A6
NR_120583.1	LINC01495
NM_022725.3	FANCF
NM_001143830.1	GAS2
NM_177553.2	GAS2
NM_005256.3	GAS2
NR_135213.1	SVIP
NM_001320340.1	SVIP
NM_148893.2	SVIP
NM_001320342.1	SVIP
NM_001320341.1	SVIP
NM_001195637.1	CCDC179
NR_107021.1	MIR8054
NM_001252008.1	LUZP2
NM_001252010.1	LUZP2
NM_001009909.3	LUZP2
NM_001313726.1	ANO3
NR_132968.1	LOC105376599
NM_031418.3	ANO3
NM_001313727.1	ANO3
NM_001135091.1	MUC15
NM_001135092.1	MUC15
NM_145650.3	MUC15
NM_178498.3	SLC5A12
NM_203371.1	FIBIN
NM_003986.2	BBOX1
NR_125768.1	BBOX1-AS1
NR_125766.1	BBOX1-AS1
NR_125767.1	BBOX1-AS1
NM_030771.1	CCDC34
NM_080654.2	CCDC34
NM_018490.3	LGR4
NM_001346432.1	LGR4
NR_131169.1	LOC105376671
NR_131170.1	LOC105376671
NM_018362.3	LIN7C
NR_033314.1	BDNF-AS
NR_002832.2	BDNF-AS
NR_033313.1	BDNF-AS
NR_033315.1	BDNF-AS
NR_033312.1	BDNF-AS
NR_107054.1	MIR8087
NR_102708.1	LINC00678
NM_170735.5	BDNF
NM_001143816.1	BDNF
NM_170734.3	BDNF
NM_001143814.1	BDNF
NM_001709.4	BDNF
NM_001143813.1	BDNF
NM_001143812.1	BDNF
NM_001143811.1	BDNF
NM_001143810.1	BDNF
NM_001143809.1	BDNF
NM_001143808.1	BDNF
NM_170733.3	BDNF
NM_001143807.1	BDNF
NM_170732.4	BDNF
NM_001143806.1	BDNF
NM_001143805.1	BDNF
NM_170731.4	BDNF
NM_031217.3	KIF18A
NR_030341.1	MIR610
NM_001297775.1	METTL15
NM_001113528.1	METTL15
NM_152636.2	METTL15
NR_107035.1	MIR8068
